tweet_id,created_at,keyword_search,text
1632158476808998912,2023-03-04 23:17:59+00:00,war+stock,"Thank God Brian Ass-enstein, we were worried with the collapse of the economy, job loss, invasion, war, stock crash, extortion, treason, hate, racism and corruption that his presidency was over. Whewww..... that was a close one. https://t.co/eMSM2ybEWZ https://t.co/L8tRMn8jQH"
1632157350244089856,2023-03-04 23:13:30+00:00,war+stock,"Leave design magazine war stock answer probably here.
dsabaa22  #西安  https://t.co/ZPsSEsVMjP"
1632105733234753540,2023-03-04 19:48:24+00:00,war+stock,@UkrainianNews24 These companies that make these chips should ltd supply to other countries as the same amount sold as pre war stock no more or they should be forced to only sell ltd pre-war sale order amounts by sanctions!!
1632092977035132928,2023-03-04 18:57:43+00:00,war+stock,"@MShadowblood @TheRealJLeague @eric_gf @mcsquared34 Little pretender, I have 22 years more in dealing with military equipment than you will ever have. And it then has to be replaced, midwit. War. Stock."
1632084683289681921,2023-03-04 18:24:45+00:00,war+stock,"2023-03-05 02:24:43
💋💫🥰😆👌
Low war stock wind crime candidate medical.
and I https://t.co/ZiMg7H8DIp"
1632057488202711041,2023-03-04 16:36:42+00:00,war+stock,@TheRealJLeague @MShadowblood @eric_gf @mcsquared34 I can. The number of people that do not understand the concept of war stock and equipment replacement is staggering. But that is what happens when midwits speak.
1632057192068141056,2023-03-04 16:35:31+00:00,war+stock,@itsfinallytime @MShadowblood @eric_gf @mcsquared34 And it has to be replaced (morons do not understand the concept of war stock) Now watch the pretend vampire lecture me on military equipment.
1632036888235180033,2023-03-04 15:14:50+00:00,war+stock,"@RepJasonCrow @AlexWitt You own some war stock, eh?"
1632001954682470401,2023-03-04 12:56:01+00:00,war+stock,@ggreenwald “War-stock-companies-fueled-media-peer-pressure” defines that.
1631795897184178178,2023-03-03 23:17:13+00:00,war+stock,"@haunaho_ @shthehonest @d4k0_89 @MrMojoRisin510 @WarMonitor3 Both sides are crying about ammunition because both sides are using huge quantities per day. They are able to do so largely through pre war stock piles not newly produced shells which both sides are now having to start relying upon. 

It takes time to ramp up production."
1631699225057677312,2023-03-03 16:53:05+00:00,war+stock,@RedKettleImages @MGortat @wartranslated @oryxspioenkop EXACTLY ITS THEMATIC! Believe it or not man the 20b dollars of rotting Cold War stock we sent to Ukraine will never be able to feed a teacher unless we can pay farmers in M113 APCs. I really don’t care if we spend however the fuck much in Ukraine if it kills Russians.
